ID,Sentence,VALIDITY
2495,j'aimerais aller quittant Sartrouville à Narbonne,VALID
2496,arrivée Vitry-sur-Seine départ Libourne,VALID
2497,je dois aller jusqu'à Rodez quittant Nancy,VALID
2498,itinéraire Foix Rueil-Malmaison,VALID
2499,train Tarbes Rennes,VALID
2500,depart Gourdon dest Saint-Denis,VALID
2501,je veux quitter Sarlat-la-Canéda pour aller pour Bilbao,VALID
2502,je vais quittant Nantes pour Lons-le-Saunier,VALID
2503,je dois aller à Auch depuis Argenteuil,VALID
2504,depuis Saint-Étienne jusqu'à Mende,VALID
2505,point de départ Nice ville d'arrivée Neuilly-sur-Seine,VALID
2506,train Courbevoie Toulon,VALID
2507,billet Rueil-Malmaison Aix-en-Provence,VALID
2508,je vais à partir de Bayonne jusqu'à Vincennes,VALID
2509,Rennes → Saint-Maur-des-Fossés,VALID
2510,je pars à partir de Colombes arrivée Saint-Denis,VALID
2511,Direction tours depuis pessac,VALID
2512,je vais quittant Saint-Jean-de-Luz pour Épinay-sur-Seine,VALID
2513,trajet quittant lons-le-saunier vers clermont-ferrand,VALID
2514,point de départ Limoges ville d'arrivée Argenteuil,VALID
2515,je souhaite me rendre pour Saint-Maur-des-Fossés de Toulouse,VALID
2516,ville de départ cahors arrivée valence,VALID
2517,donne moi un itinéraire en partant de Lyon à Millau,VALID
2518,direction Hendaye de Grasse,VALID
2519,je veux quitter San Sebastián pour aller en direction de Boulogne-Billancourt,VALID
2520,direction Pessac à partir de Montreuil,VALID
2521,donne moi un chemin à partir de Évry vers Tourcoing,VALID
2522,peux-tu me trouver un train en partant de Brest vers Nancy,VALID
2523,je dois aller en direction de Castres en partant de Cannes,VALID
2524,peux-tu me trouver un train en partant de Amiens à Mont-de-Marsan,VALID
2525,je pars depuis Clermont-Ferrand pour aller Bilbao,VALID
2526,je veux quitter montpellier pour aller en direction de créteil,VALID
2527,arrivée albi ville de départ sarlat-la-canéda,VALID
2528,je pars en partant de Le Havre pour aller Reims,VALID
2529,depuis Mérignac direction Antony,VALID
2530,de Brive-la-Gaillarde à Chartres,VALID
2531,de Alès à Millau,VALID
2532,Depuis issy-les-moulineaux jusqu'à aix-en-provence,VALID
2533,train Évry Barcelona,VALID
2534,je pars depuis Meaux pour voyager Mende,VALID
2535,je veux voyager en partant de Neuilly-sur-Seine à Nîmes,VALID
2536,Je voudrais me rendre en partant de annecy à tours,VALID
2537,je veux quitter Brive-la-Gaillarde pour aller à Épinay-sur-Seine,VALID
2538,JE PARS EN PARTANT DE ROUBAIX POUR ME RENDRE DAX,VALID
2539,Depart troyes dest saint-denis,VALID
2540,donne moi un itinéraire depuis La Seyne-sur-Mer en direction de Toulon,VALID
2541,aller depuis Rennes vers Alès,VALID
2542,Depuis girona direction courbevoie,VALID
2543,je pars à partir de Gap arrivée Auxerre,VALID
2544,je pars depuis Caen pour arriver Montauban,VALID
2545,je veux quitter Aulnay-sous-Bois pour aller vers La Rochelle,VALID
2546,Sèvres - Montauban,VALID
2547,Je voudrais me déplacer à partir de rouen pour neuilly-sur-seine,VALID
2548,je pars depuis Albi pour me rendre Biarritz,VALID
2549,Je souhaite me rendre jusqu'à auxerre en partant de valencia,VALID
2550,donne moi un parcours quittant Noisy-le-Grand vers Bayonne,VALID
2551,je voudré me déplacer en partant de Rouen à Saint-Maur-des-Fossés,VALID
2552,j'aimerais aller à partir de Nantes à Sartrouville,VALID
2553,ville de départ Asnières-sur-Seine ville d'arrivée Castres,VALID
2554,je souhaite me rendre pour Vitry-sur-Seine depuis Mont-de-Marsan,VALID
2555,je pars depuis Meaux arrivée Nevers,VALID
2556,je vais quittant Noisy-le-Grand vers Lille,VALID
2557,aller en partant de strasbourg pour saint-étienne,VALID
2558,Versailles → Sèvres,VALID
2559,donne moi un déplacement quittant Cannes jusqu'à Nancy,VALID
2560,je dois aller à Fontenay-sous-Bois quittant Bondy,VALID
2561,aller simple à partir de Marseille jusqu'à Lille,VALID
2562,itinéraire Clichy San Sebastián,VALID
2563,j'aimerais aller depuis Nantes en direction de Sartrouville,VALID
2564,direction Libourne à partir de Narbonne,VALID
2565,j'aimerais aller en partant de Marseille vers Poitiers,VALID
2566,train Chartres Laval,VALID
2567,je dois aller à Antony quittant Pantin,VALID
2568,donne moi un parcours à partir de Toulouse jusqu'à Orléans,VALID
2569,Libourne - marseille,VALID
2570,J'aimerais aller depuis bobigny vers antony,VALID
2571,de Lille à Asnières-sur-Seine,VALID
2572,direction Lyon en partant de Antibes,VALID
2573,je voudrais partir à partir de Valencia jusqu'à Digne-les-Bains,VALID
2574,voyage La Seyne-sur-Mer Le Havre,VALID
2575,peux-tu me trouver un train depuis perpignan en direction de le havre,VALID
2576,Pessac - Boulogne-Billancourt,VALID
2577,départ Bergerac destination Périgueux,VALID
2578,de nevers à figueres,VALID
2579,trajet de Lorient vers Narbonne,VALID
2580,depuis Bobigny jusqu'à Lons-le-Saunier,VALID
2581,aller simple quittant Amiens en direction de Sèvres,VALID
2582,DEPUIS AULNAY-SOUS-BOIS JUSQU'À LA ROCHELLE,VALID
2583,point de départ Bergerac point d'arrivée Colmar,VALID
2584,j'aimerais aller quittant Hyères à Pantin,VALID
2585,Girona - Bondy,VALID
2586,Direction hendaye à partir de clermont-ferrand,VALID
2587,je souhaite me rendre vers Nancy en partant de Châlons-en-Champagne,VALID
2588,Marseille - Lons-le-Saunier,VALID
2589,depuis Le Mans jusqu'à Arcachon,VALID
2590,j'aimerais aller depuis Cahors jusqu'à Tourcoing,VALID
2591,je veux partir à partir de bergerac jusqu'à bordeaux,VALID
2592,donne moi un parcours à partir de Argenteuil jusqu'à Castres,VALID
2593,je pars quittant Metz pour me rendre Nice,VALID
2594,origine Bondy ville d'arrivee Périgueux,VALID
2595,je dois aller à Cannes depuis Perpignan,VALID
2596,déplacement Lons-le-Saunier Clermont-Ferrand,VALID
2597,donne moi un trajet depuis Aix-en-Provence pour Saint-Paul,VALID
2598,donne moi un parcours depuis Roubaix pour Madrid,VALID
2599,je veux quitter Grasse pour aller jusqu'à Nantes,VALID
2600,je veux aller depui La Rochelle pour Tourcoing,VALID
2601,je veux quitter Bobigny pour aller jusqu'à Sarlat-la-Canéda,VALID
2602,billet Albi Grasse,VALID
2603,Train biarritz saint-jean-de-luz,VALID
2604,arrivée Versailles origine Gap,VALID
2605,aller quittant Courbevoie à Nantes,VALID
2606,je veux rejoindre Poitiers quittant Annecy,VALID
2607,de Nevers à Antony,VALID
2608,je dois aller jusqu'à Argenteuil à partir de Metz,VALID
2609,aller simple quittant Dijon vers Figueres,VALID
2610,de Girona à Grenoble,VALID
2611,je dois aller pour Périgueux quittant Albi,VALID
2612,je souhaite me rendre en direction de Gap en partant de Issy-les-Moulineaux,VALID
2613,déplacement Rouen Saint-Paul,VALID
2614,aller simple de Grasse jusqu'à Dax,VALID
2615,je cherche un train à partir de Épinay-sur-Seine vers Évreux,VALID
2616,j'aimerais aller depuis Mulhouse à Antony,VALID
2617,donne moi un parcours de Bordeaux jusqu'à Sète,VALID
2618,TRAIN BILBAO BREST,VALID
2619,depart Saint-Étienne dest Nancy,VALID
2620,arrivée Arles ville de départ Montreuil,VALID
2621,je dois aller vers nantes à partir de sartrouville,VALID
2622,depuis Nevers direction Argenteuil,VALID
2623,aller simple depuis Nice en direction de Hyères,VALID
2624,billet versailles pessac,VALID
2625,je dois aller vers Rodez depuis Tourcoing,VALID
2626,depuis Toulouse jusqu'à La Seyne-sur-Mer,VALID
2627,voyage Colombes Madrid,VALID
2628,je vais à partir de Pau vers Avignon,VALID
2629,voyage Évry Cannes,VALID
2630,je pars de Mont-de-Marsan arrivée Strasbourg,VALID
2631,voyage Poitiers Auxerre,VALID
2632,aller simple à partir de Avignon en direction de Valencia,VALID
2633,Lille - Hendaye,VALID
2634,train Villeurbanne Grenoble,VALID
2635,je cherche un train depuis Clichy vers Auch,VALID
2636,je veux quitter Antibes pour aller jusqu'à Nantes,VALID
2637,je veux quitter Amiens pour aller à La Seyne-sur-Mer,VALID
2638,je veux rejoindre à partir de Caen pour Pau,VALID
2639,je cherche un train en partant de Gap vers Brest,VALID
2640,itinéraire Biarritz Montpellier,VALID
2641,arrivée Chartres point de départ Bordeaux,VALID
2642,je souhaite me rendre vers Fontenay-sous-Bois en partant de Meaux,VALID
2643,voyage Créteil Cahors,VALID
2644,de Albi à Issy-les-Moulineaux,VALID
2645,trajet Béziers Châlons-en-Champagne,VALID
2646,je vais de Troyes jusqu'à Gap,VALID
2647,donne moi un itinéraire à partir de Valence jusqu'à Perpignan,VALID
2648,je cherche un train depuis Issy-les-Moulineaux vers Alès,VALID
2649,donne moi un itinéraire depuis Tourcoing vers Saint-Jean-de-Luz,VALID
2650,donne moi un voyage de Bayonne jusqu'à Bondy,VALID
2651,Cannes - Orléans,VALID
2652,trajet en partant de Évreux vers Montpellier,VALID
2653,aller quittant Nîmes à Poitiers,VALID
2654,je cherche un train depuis Calais vers Mérignac,VALID
2655,je dois aller jusqu'à Toulon de Évreux,VALID
2656,DÉPLACEMENT MADRID ANNECY,VALID
2657,JE VEUX ME RENDRE EN PARTANT DE COLMAR À PERPIGNAN,VALID
2658,direction Biarritz en partant de Périgueux,VALID
2659,je cherche un train à partir de Strasbourg vers Rouen,VALID
2660,aller simple en partant de Châteauroux jusqu'à Privas,VALID
2661,je vais à partir de Nantes vers Rouen,VALID
2662,itinéraire Rouen Boulogne-Billancourt,VALID
2663,donne moi un voyage quittant Auxerre vers Caen,VALID
2664,point de départ Brest destination Clamart,VALID
2665,Grenoble - Châteauroux,VALID
2666,arrivée Montpellier origine Privas,VALID
2667,je dois aller jusqu'à Saint-Paul en partant de Strasbourg,VALID
2668,je veux quitter Drancy pour aller jusqu'à Sarlat-la-Canéda,VALID
2669,j'aimerais aller en partant de Évreux à Blois,VALID
2670,de Bergerac à Saint-Denis,VALID
2671,je voudrais partir à partir de Châlons-en-Champagne pour Reims,VALID
2672,je pars à partir de Bobigny arrivée Arles,VALID
2673,je voudrais rejoindre quittant Marseille jusqu'à Vannes,VALID
2674,depuis Le Havre jusqu'à Mantes-la-Jolie,VALID
2675,je veux rejoindre Briançon en partant de Mende,VALID
2676,Bourges → carcassonne,VALID
2677,point de départ Libourne ville d'arrivée Annecy,VALID
2678,Asnières-sur-Seine → Briançon,VALID
2679,voyage Lons-le-Saunier Avignon,VALID
2680,depuis Marseille jusqu'à Grasse,VALID
2681,aller simple depuis Dax pour Avignon,VALID
2682,aller en partant de Angers jusqu'à Bobigny,VALID
2683,trajet quittant Limoges vers Courbevoie,VALID
2684,Depart brive-la-gaillarde dest besançon,VALID
2685,je veux rejoindre sète quittant cannes,VALID
2686,de Nantes à Créteil,VALID
2687,je pars depuis Dax pour arriver Angers,VALID
2688,Villeurbanne - Gourdon,VALID
2689,depuis Saint-Maur-des-Fossés direction Cannes,VALID
2690,direction Cannes à partir de Tours,VALID
2691,peux-tu me trouver un train depuis Aulnay-sous-Bois en direction de Lille,VALID
2692,depuis Castres direction Lille,VALID
2693,parcours Alès Tours,VALID
2694,aller simple en partant de Aix-en-Provence pour Clamart,VALID
2695,j'aimerais aller en partant de Reims jusqu'à Briançon,VALID
2696,voyage Clamart Chartres,VALID
2697,j'aimerais aller en partant de Rouen à Carcassonne,VALID
2698,billet Rueil-Malmaison Colmar,VALID
2699,aller simple en partant de dunkirk en direction de clichy,VALID
2700,je veux voyager en partant de marseille jusqu'à belfort,VALID
2701,je veux rejoindre Pantin en partant de Niort,VALID
2702,itineraire Bilbao Gourdon,VALID
2703,je vais à partir de Toulouse jusqu'à Annecy,VALID
2704,Laval → Pessac,VALID
2705,itinéraire Blois Moulins,VALID
2706,de Libourne à Rueil-Malmaison,VALID
2707,je souhaite me rendre jusqu'à Villeurbanne quittant Paris,VALID
2708,train Laval Mende,VALID
2709,aller simple en partant de Gap jusqu'à Bourges,VALID
2710,Aller à partir de foix à argenteuil,VALID
2711,je voudrais aller depuis Bilbao en direction de Albi,VALID
2712,arrivée Courbevoie point de départ Reims,VALID
2713,je veux rejoindre Sarlat-la-Canéda en partant de San Sebastián,VALID
2714,aller simple à partir de Figueres à Villeneuve-d'Ascq,VALID
2715,de Bordeaux à Pantin,VALID
2716,itinéraire Nîmes Roubaix,VALID
2717,je pars depuis Montpellier arrivée Avignon,VALID
2718,BILLET CARCASSONNE BERGERAC,VALID
2719,voyage Narbonne Rennes,VALID
2720,train pessac libourne,VALID
2721,de sète à moulins,VALID
2722,Arles - Girona,VALID
2723,je voudrais me déplacer en partant de Caen jusqu'à Metz,VALID
2724,de Libourne à Boulogne-Billancourt,VALID
2725,depuis Hyères jusqu'à Cergy,VALID
2726,je souhaite me rendre jusqu'à bobigny quittant caen,VALID
2727,depuis Barcelona direction Perpignan,VALID
2728,je veux rejoindre Bergerac en partant de Saint-Jean-de-Luz,VALID
2729,aller simple en partant de Perpignan en direction de Caen,VALID
2730,donne moi un déplacement en partant de Toulon vers Orléans,VALID
2731,je pars à partir de Antibes arrivée Béziers,VALID
2732,origine Albi arrivée Vitry-sur-Seine,VALID
2733,je voudrais partir de Chartres à Briançon,VALID
2734,train Brest Bergerac,VALID
2735,peux-tu me trouver un train de Cahors vers Clermont-Ferrand,VALID
2736,je veux aller en partant de Sèvres en direction de Brest,VALID
2737,je veux rejoindre Montreuil quittant Mont-de-Marsan,VALID
2738,je voudrais me rendre en partant de Champigny-sur-Marne pour Nanterre,VALID
2739,itinéraire Valence Poitiers,VALID
2740,depuis Alès direction Gap,VALID
2741,peux-tu me trouver un train quittant Brest à Caen,VALID
2742,direction Belfort quittant Marseille,VALID
2743,de Toulon à Clamart,VALID
2744,peux-tu me trouver un train en partant de Évry jusqu'à Mulhouse,VALID
2745,itinéraire millau castres,VALID
2746,voyage Metz Caen,VALID
2747,itinéraire Colombes Colmar,VALID
2748,itinéraire Brest Perpignan,VALID
2749,je veux rejoindre Villeneuve-d'Ascq de Sarlat-la-Canéda,VALID
2750,je vais de Bilbao pour Pau,VALID
2751,je pars en partant de Biarritz pour voyager Colmar,VALID
2752,aller simple en partant de Bergerac en direction de Bilbao,VALID
2753,itinéraire Rennes Le Mans,VALID
2754,Avignon - Nancy,VALID
2755,je veux rejoindre Villeurbanne quittant Argenteuil,VALID
2756,je pars depuis Épinay-sur-Seine arrivée Arcachon,VALID
2757,je veux quitter Rouen pour aller vers Chartres,VALID
2758,DEPUIS PAU JUSQU'À VERSAILLES,VALID
2759,je pars à partir de Antibes arrivée Bordeaux,VALID
2760,Trajet de dijon vers san sebastián,VALID
2761,je vais quittant Pessac vers Brest,VALID
2762,Je pars à partir de lyon pour arriver boulogne-billancourt,VALID
2763,je pars de nevers arrivée carcassonne,VALID
2764,depuis Châlons-en-Champagne direction Biarritz,VALID
2765,je veux rejoindre Gourdon quittant Marseille,VALID
2766,Je pars depuis cannes pour voyager issy-les-moulineaux,VALID
2767,depuis Valence jusqu'à La Seyne-sur-Mer,VALID
2768,donne moi un voyage de Brive-la-Gaillarde vers Bergerac,VALID
2769,Depuis castres direction bergerac,VALID
2770,Millau - Mulhouse,VALID
2771,je voudrais partir à partir de Brive-la-Gaillarde pour Saint-Étienne,VALID
2772,je dois aller pour Lille de Bobigny,VALID
2773,itinéraire Montauban Brest,VALID
2774,J'AIMERAIS ALLER QUITTANT PERPIGNAN EN DIRECTION DE POITIERS,VALID
2775,je veux rejoindre Brest depuis Aulnay-sous-Bois,VALID
2776,ville de départ Aix-en-Provence arrivée Sarlat-la-Canéda,VALID
2777,de Mende à Villeneuve-d'Ascq,VALID
2778,direction Béziers quittant Annecy,VALID
2779,depuis Arles direction San Sebastián,VALID
2780,je souhaite me rendre pour Colombes en partant de Le Havre,VALID
2781,parcours Clamart Grasse,VALID
2782,Valencia → Toulouse,VALID
2783,de Poitiers à Madrid,VALID
2784,Voyage gap saint-maur-des-fossés,VALID
2785,je veux quitter Boulogne-Billancourt pour aller en direction de Antibes,VALID
2786,aller simple en partant de grasse jusqu'à millau,VALID
2787,je cherche un train quittant Le Havre vers Aix-en-Provence,VALID
2788,je pars de Figeac pour aller Châlons-en-Champagne,VALID
2789,donne moi un voyage en partant de Créteil vers Paris,VALID
2790,je cherche un train quittant Niort vers Évreux,VALID
2791,JE DOIS ALLER EN DIRECTION DE COLMAR EN PARTANT DE TOULOUSE,VALID
2792,je veux quitter Toulouse pour aller pour Pantin,VALID
2793,origine Brive-la-Gaillarde ville d'arrivée Vannes,VALID
2794,je voudrais me rendre à partir de Nîmes vers Saint-Jean-de-Luz,VALID
2795,billet Orléans Montreuil,VALID
2796,donne moi un parcours quittant Angers jusqu'à Hyères,VALID
2797,de Clamart à Chartres,VALID
2798,je souhaite me rendre à Lyon de Châlons-en-Champagne,VALID
2799,ville de départ Béziers point d'arrivée Toulouse,VALID
2800,arrivée Pantin ville de départ Mont-de-Marsan,VALID
2801,peux-tu me trouver un train en partant de Mantes-la-Jolie pour Saint-Maur-des-Fossés,VALID
2802,je veux quitter de Antibes pour Toulon,VALID
2803,donne moi un chemin à partir de San Sebastián à Vitry-sur-Seine,VALID
2804,train Strasbourg Perpignan,VALID
2805,aller simple depuis Moulins en direction de Montauban,VALID
2806,Je cherche un train à partir de albi vers montreuil,VALID
2807,arrivée Montreuil point de départ Digne-les-Bains,VALID
2808,boulogne-billancourt - champigny-sur-marne,VALID
2809,aller simple en partant de Créteil à Auxerre,VALID
2810,je voudrais partir de Châlons-en-Champagne à Clamart,VALID
2811,depuis Mont-de-Marsan jusqu'à La Rochelle,VALID
2812,je pars à partir de Narbonne pour me déplacer Alès,VALID
2813,arrivée Épinay-sur-Seine départ Rouen,VALID
2814,je veux partir en partant de Reims vers Lille,VALID
2815,point de départ Colmar point d'arrivée Chartres,VALID
2816,itinéraire Bergerac Vitry-sur-Seine,VALID
2817,depart Foix dest Limoges,VALID
2818,aller simple à partir de Troyes pour Gourdon,VALID
2819,je veux quitter Toulouse pour aller pour Castres,VALID
2820,je dois alé jusqu'à Orléans quittant Rouen,VALID
2821,depuis Millau direction Pau,VALID
2822,je vais quittant Niort à Argenteuil,VALID
2823,aller simple de Montauban jusqu'à Le Havre,VALID
2824,Biarritz → Grasse,VALID
2825,Je vais depuis bilbao en direction de arles,VALID
2826,billet Agen Mulhouse,VALID
2827,je veux rejoindre Pau en partant de Sartrouville,VALID
2828,je voudrais partir de Montauban pour Blois,VALID
2829,aller à partir de Briançon à Montauban,VALID
2830,je veux rejoindre Noisy-le-Grand à partir de Brive-la-Gaillarde,VALID
2831,je veux quitter Toulon pour aller en direction de Montauban,VALID
2832,je veux rejoindre Argenteuil à partir de Périgueux,VALID
2833,alé simple quittant Créteil à Clamart,VALID
2834,Figeac - Brive-la-Gaillarde,VALID
2835,aller de Mende jusqu'à Saint-Étienne,VALID
2836,Pessac → Saint-Maur-des-Fossés,VALID
2837,je souhaite me rendre jusqu'à fontenay-sous-bois en partant de bordeaux,VALID
2838,train Meaux Digne-les-Bains,VALID
2839,depart Clichy dest Carcassonne,VALID
2840,Valence → Hendaye,VALID
2841,je souhaite me rendre à Asnières-sur-Seine en partant de Auxerre,VALID
2842,trajet à partir de Toulouse vers Carcassonne,VALID
2843,de Saint-Jean-de-Luz à Sète,VALID
2844,JE VOUDRAIS REJOINDRE DEPUIS NIORT A LAVAL,VALID
2845,arrivée Orléans ville de départ Arcachon,VALID
2846,je vais quittant Tourcoing vers Aulnay-sous-Bois,VALID
2847,je veux rejoindre Bergerac de Calais,VALID
2848,je pars à partir de Carcassonne arrivée Courbevoie,VALID
2849,billet cergy girona,VALID
2850,je veux rejoindre Strasbourg depuis Arles,VALID
2851,depuis Bergerac jusqu'à Bilbao,VALID
2852,depart bobigny dest rodez,VALID
2853,aller simple en partant de Avignon pour Nantes,VALID
2854,je pars en partant de Bobigny arrivée Marseille,VALID
2855,je pars quittant Figueres arrivée Besançon,VALID
2856,je veux rejoindre Castres quittant Rouen,VALID
2857,depuis Bilbao direction Châlons-en-Champagne,VALID
2858,trajet de Pau vers Toulouse,VALID
2859,train Gourdon Neuilly-sur-Seine,VALID
2860,depart Châteauroux dest Nice,VALID
2861,aller quittant Auch à Sarlat-la-Canéda,VALID
2862,Trajet à partir de limoges vers marseille,VALID
2863,de Reims à Pau,VALID
2864,train Arcachon Narbonne,VALID
2865,DEPUIS SÈTE DIRECTION NOISY-LE-GRAND,VALID
2866,je vais à partir de Issy-les-Moulineaux en direction de Dijon,VALID
2867,de Sète à Clichy,VALID
2868,direction Angers quittant Aulnay-sous-Bois,VALID
2869,je souhaite me rendre pour Nanterre depuis Arles,VALID
2870,depart Metz dest Arcachon,VALID
2871,train Neuilly-sur-Seine Vincennes,VALID
2872,Billet lyon agen,VALID
2873,trajet à partir de Arles vers Vannes,VALID
2874,je pars à partir de Dijon pour rejoindre Hyères,VALID
2875,arrivée Valencia point de départ Reims,VALID
2876,aller simple depuis Mulhouse pour Chartres,VALID
2877,je pars quittant Sète arrivée Digne-les-Bains,VALID
2878,j'aimerais aller de Barcelona vers Poitiers,VALID
2879,parcours Sèvres Mende,VALID
2880,je vais en partant de Antibes vers Avignon,VALID
2881,je veux rejoindre La Rochelle à partir de Rodez,VALID
2882,Clamart → Dunkirk,VALID
2883,je veux quitter Saint-Étienne pour aller vers Annecy,VALID
2884,depuis Mont-de-Marsan direction Mende,VALID
2885,train Créteil Saint-Denis,VALID
2886,depuis Clichy direction Colombes,VALID
2887,je veux rejoindre à partir de Pau à Bourges,VALID
2888,départ La Rochelle arrivée Libourne,VALID
2889,Donne moi un trajet à partir de nancy vers versailles,VALID
2890,train Vannes Saint-Maur-des-Fossés,VALID
2891,je cherche un train quittant Paris vers Lorient,VALID
2892,depart Rennes dest Drancy,VALID
2893,je dois aller à Bergerac depuis Nîmes,VALID
2894,aller en partant de Girona pour Perpignan,VALID
2895,voyage Lyon Clichy,VALID
2896,je dois aller à Toulouse de Agen,VALID
2897,lons-le-saunier - sèvres,VALID
2898,je veux quitter nancy pour aller en direction de blois,VALID
2899,aller simple depuis Sartrouville à Auch,VALID
2900,je voudrais voyager quittant Sarlat-la-Canéda à Montauban,VALID
2901,aller simple à partir de Nevers en direction de Issy-les-Moulineaux,VALID
2902,je dois aller à Versailles à partir de Tours,VALID
2903,Paris - Neuilly-sur-Seine,VALID
2904,train Clamart Mulhouse,VALID
2905,de Gap à Cannes,VALID
2906,je veux quitter Cahors pour aller jusqu'à Privas,VALID
2907,depuis Saint-Jean-de-Luz direction Sèvres,VALID
2908,je veux rejoindre Nevers à partir de Épinay-sur-Seine,VALID
2909,de Boulogne-Billancourt à Castres,VALID
2910,peux-tu me trouver un train depuis Colmar vers Barcelona,VALID
2911,Depuis nice jusqu'à besançon,VALID
2912,Bobigny → Girona,VALID
2913,je voudrais quitter quittant Valence à Angers,VALID
2914,je pars à partir de La Seyne-sur-Mer arrivée Biarritz,VALID
2915,origine Pantin arrivée Barcelona,VALID
2916,peux-tu me trouver un train de Strasbourg vers Nîmes,VALID
2917,je souhaite me rendre en direction de Montauban de Rennes,VALID
2918,je veux quitter en partant de Marseille vers Valencia,VALID
2919,aller à partir de Argenteuil jusqu'à Bondy,VALID
2920,je veux quitter à partir de Alès vers Bobigny,VALID
2921,depuis Montpellier direction Digne-les-Bains,VALID
2922,trajet Belfort Rennes,VALID
2923,je pars à partir de drancy arrivée dax,VALID
2924,Je veux me rendre de clichy vers chartres,VALID
2925,billet Alès Toulouse,VALID
2926,Lyon - Évreux,VALID
2927,je pars en partant de Bobigny arrivée Metz,VALID
2928,Je pars à partir de antibes arrivée annecy,VALID
2929,depuis Villeurbanne direction Perpignan,VALID
2930,voyage Valencia Villeurbanne,VALID
2931,depart Nevers dest Madrid,VALID
2932,Villeurbanne → Brest,VALID
2933,je veux voyager à partir de La Rochelle vers Sartrouville,VALID
2934,j'aimerais aller quittant Libourne jusqu'à Sartrouville,VALID
2935,je veux quitter Angers pour aller jusqu'à Mérignac,VALID
2936,aller simple depuis Mulhouse pour Libourne,VALID
2937,départ Calais destination Antony,VALID
2938,je vais depuis Rueil-Malmaison pour Antony,VALID
2939,donne moi un déplacement en partant de Châlons-en-Champagne jusqu'à Châteauroux,VALID
2940,San Sebastián → Blois,VALID
2941,je voudrais me rendre en partant de Narbonne à Clamart,VALID
2942,peux-tu me trouver un train à partir de Figeac vers Cannes,VALID
2943,trajet depuis Montreuil vers Périgueux,VALID
2944,je voudrais quitter depuis Pessac jusqu'à Dunkirk,VALID
2945,Valencia → dax,VALID
2946,itinéraire Champigny-sur-Marne Sète,VALID
2947,je dois aller à Clichy à partir de Le Havre,VALID
2948,voyage Évry Grenoble,VALID
2949,aller simple en partant de Roubaix jusqu'à Nantes,VALID
2950,je vais quittant Orléans vers Pantin,VALID
2951,itinéraire Mérignac Cahors,VALID
2952,aller simple depuis Clermont-Ferrand jusqu'à Agen,VALID
2953,je souhaite me rendre vers Libourne en partant de Clichy,VALID
2954,train La Seyne-sur-Mer Auxerre,VALID
2955,Billet roubaix libourne,VALID
2956,Bergerac - Marseille,VALID
2957,ville de départ San Sebastián destination Mont-de-Marsan,VALID
2958,trajet depuis Orléans vers Carcassonne,VALID
2959,je veux me déplacer de Saint-Maur-des-Fossés vers Nice,VALID
2960,je dois aller en direction de Carcassonne de Avignon,VALID
2961,voyage Rennes Privas,VALID
2962,Drancy - Angers,VALID
2963,je dois aller pour clichy à partir de le havre,VALID
2964,je voudrais voyager de Vincennes jusqu'à Meaux,VALID
2965,aller à partir de Gourdon jusqu'à Angers,VALID
2966,arrivée Valence point de départ Villeneuve-d'Ascq,VALID
2967,depart Lille dest Digne-les-Bains,VALID
2968,depuis Rennes direction Cahors,VALID
2969,Billet barcelona toulouse,VALID
2970,je pars depuis Agen arrivée Amiens,VALID
2971,déplacement orléans brest,VALID
2972,je veux rejoindre rueil-malmaison en partant de besançon,VALID
2973,je cherche un train à partir de Perpignan vers Pantin,VALID
2974,direction Blois depuis Agen,VALID
2975,depuis Mende jusqu'à Valencia,VALID
2976,depart Caen dest Saint-Étienne,VALID
2977,je voudrais rejoindre quittant Toulouse vers Rouen,VALID
2978,Albi - Troyes,VALID
2979,Madrid → San Sebastián,VALID
2980,je veux aller en partant de Bobigny pour Belfort,VALID
2981,donne moi un itinéraire en partant de Limoges pour Chartres,VALID
2982,de Annecy à Brive-la-Gaillarde,VALID
2983,je souhaite me rendre jusqu'à Colombes en partant de Nantes,VALID
2984,je dois aller à La Rochelle à partir de Lons-le-Saunier,VALID
2985,ville de départ Nantes ville d'arrivée Arcachon,VALID
2986,direction Lille depuis Neuilly-sur-Seine,VALID
2987,Je pars en partant de privas arrivée marseille,VALID
2988,Sarlat-la-Canéda → San Sebastián,VALID
2989,trajet de Belfort vers Montpellier,VALID
2990,aller de Le Mans à Tours,VALID
2991,itinéraire Fontenay-sous-Bois Mantes-la-Jolie,VALID
2992,je cherche un train en partant de pessac vers montpellier,VALID
2993,je veux rejoindre Asnières-sur-Seine en partant de Évry,VALID
2994,Troyes → Narbonne,VALID
2995,aller quittant Argenteuil en direction de Pantin,VALID
2996,depart Toulon dest Mérignac,VALID
2997,trajet en partant de Noisy-le-Grand vers Villeneuve-d'Ascq,VALID
2998,je veux quitter Sartrouville pour aller à Grasse,VALID
2999,je veux voyager quittant Roubaix pour Nantes,VALID
3000,voyage Caen Narbonne,VALID
3001,je dois aller vers La Rochelle quittant Drancy,VALID
3002,Bergerac - Digne-les-Bains,VALID
3003,je voudrais aller en partant de Vincennes à Pessac,VALID
3004,trajet à partir de Mulhouse vers Troyes,VALID
3005,peux-tu me trouver un train de nevers vers brive-la-gaillarde,VALID
3006,je voudrais partir quittant roubaix vers colombes,VALID
3007,voyage Nanterre Issy-les-Moulineaux,VALID
3008,Calais → Bergerac,VALID
